name,country,category,latitude,longitude
Chimei Museum,Taiwan,museum,22.934723,120.22583
National Museum of Taiwan History,Taiwan,museum,23.058056,120.234726
Shengli Meishuguan,Taiwan,museum,24.140833,120.65945
Minsu Wenwuguan,Taiwan,museum,24.053333,120.436386
T’ai-tung County Nature History Education Museum,Taiwan,museum,23.12139,121.395836
National Museum of Marine Biology / Aguarium,Taiwan,museum,22.046112,120.69639
Ziran Kexue Bowuguan,Taiwan,museum,24.156666,120.665276
National Palace Museum,Taiwan,museum,25.101944,121.54833
Shili Wenhua Zhongxin,Taiwan,museum,24.141388,120.66972
National Science Handcrafts Museum,Taiwan,museum,22.641111,120.3225
Gaoxiong Shili Meishuguan,Taiwan,museum,22.655277,120.28667
Taiwan Dianying Wenhuacheng,Taiwan,museum,24.074722,120.71611
Taipei World Trade Center Nangang Exhibition Hall,Taiwan,museum,25.056389,121.61806
Gugong Bowuguan,Taiwan,museum,24.083334,120.71667
Taijiang Cetacean Museum,Taiwan,museum,23.026112,120.14333
Lin-yüan Industrial Park,Taiwan,industrial area,22.5,120.397224
Yung-an Industrial Park,Taiwan,industrial area,22.812778,120.25139
An-p’ing Industrial Park,Taiwan,industrial area,22.977222,120.18139
Yung-k’ang Industrial Park,Taiwan,industrial area,23.026112,120.251114
Kuan-t’ien Industrial Park,Taiwan,industrial area,23.207777,120.325554
Feng-t’ien Industrial Park,Taiwan,industrial area,23.63861,120.465836
Chia-t’ai Industrial Park,Taiwan,industrial area,23.507223,120.35917
Chung-cheng Park,Taiwan,park,25.158611,121.54
K’en-ting Park,Taiwan,park,21.970833,120.81333
Shih-t’ou Park,Taiwan,park,24.355,120.67555
Ch’ing-shui Park,Taiwan,park,24.268055,120.58083
Chiu-ch’ü-t’ang Industrial Park,Taiwan,industrial area,22.659166,120.423615
Ch’i-chin Number 6 Park,Taiwan,park,22.580278,120.29195
Zhongzheng Gongyuan,Taiwan,park,24.1575,120.68222
Zhongshan Gongyuan,Taiwan,park,24.144444,120.684166
Chung-cheng Park,Taiwan,park,24.36139,120.65
Zhongshan Gongyuan,Taiwan,park,23.0025,120.21139
Yün-hsien Amusement Park,Taiwan,park,24.84389,121.555275
Ch’u-lu Amusement Park,Taiwan,park,22.863611,121.10944
Chiao-hsi Park,Taiwan,park,24.831388,121.77695
Chia-hsien Park,Taiwan,park,23.081388,120.59111
Taroko National Park,Taiwan,park,24.134722,121.3825
Jen-te-hsiang Sports Park,Taiwan,park,22.90889,120.263336
Kuan-shan Water Park,Taiwan,park,23.04,121.17389
Pnoenix Valley Bird Park,Taiwan,park,23.72889,120.79278
Hsuehpa National Park,Taiwan,park,24.414722,121.287224
Hsueh-pa National Park,Taiwan,park,24.36861,121.138336
